top_01 occurrence times 9435:	     shall
top_70 occurrence times 1389:	      went
top_71 occurrence times 1346:	    Isaiah
top_72 occurrence times 1321:	     saith
top_73 occurrence times 1288:	   Numbers
top_74 occurrence times 1282:	        do
top_75 occurrence times 1275:	   Ezekiel
top_76 occurrence times 1273:	        go
top_77 occurrence times 1213:	    Exodus
top_78 occurrence times 1165:	      down
top_79 occurrence times 1164:	      sons
top_80 occurrence times 1162:	    things
top_81 occurrence times 1154:	      Luke
top_82 occurrence times 1146:	      John
top_83 occurrence times 1142:	       our
top_84 occurrence times 1138:	        if
top_85 occurrence times 1138:	     David
top_86 occurrence times 1131:	     every
top_87 occurrence times 1129:	       Job
top_88 occurrence times 1118:	      Lord
top_89 occurrence times 1096:	       let
top_90 occurrence times 1076:	   Matthew
top_91 occurrence times 1060:	         O
top_92 occurrence times 1051:	      over
top_93 occurrence times 1048:	       may
top_94 occurrence times 1045:	   thereof
top_95 occurrence times 1043:	     after
top_96 occurrence times 1039:	       say
top_97 occurrence times 1038:	     these
top_98 occurrence times 1030:	      make
top_99 occurrence times 1027:	     forth
top_100 occurrence times 1018:	   because
top_101 occurrence times 1007:	      Acts
top_102 occurrence times 990:	      away
top_103 occurrence times 977:	       did
top_104 occurrence times 971:	       she
top_105 occurrence times 963:	      name
top_106 occurrence times 963:	      hast
top_107 occurrence times 960:	     earth
top_108 occurrence times 959:	Deuteronomy
top_109 occurrence times 954:	      Then
top_110 occurrence times 926:	     great
top_111 occurrence times 915:	  Proverbs
top_112 occurrence times 914:	     Jesus
top_113 occurrence times 903:	     thine
top_114 occurrence times 882:	       put
top_115 occurrence times 877:	    Joshua
top_116 occurrence times 870:	      days
top_117 occurrence times 869:	        am
top_118 occurrence times 859:	 therefore
top_119 occurrence times 859:	 Leviticus
top_120 occurrence times 858:	      pass
top_121 occurrence times 857:	      city
top_122 occurrence times 855:	     heart
top_123 occurrence times 848:	     Moses
top_124 occurrence times 845:	      give
top_125 occurrence times 844:	    father
top_126 occurrence times 842:	      then
top_127 occurrence times 833:	   brought
top_128 occurrence times 832:	     among
top_129 occurrence times 827:	     Judah
top_130 occurrence times 822:	       two
top_131 occurrence times 815:	 according
top_132 occurrence times 811:	 Jerusalem
top_133 occurrence times 811:	       any
top_134 occurrence times 782:	       who
top_135 occurrence times 774:	      know
top_136 occurrence times 774:	    behold
top_137 occurrence times 758:	       set
top_138 occurrence times 749:	      took
top_139 occurrence times 741:	   neither
top_140 occurrence times 729:	     place
top_141 occurrence times 728:	       now
top_142 occurrence times 728:	        He
top_143 occurrence times 727:	      good
top_144 occurrence times 722:	    should
top_145 occurrence times 720:	       Now
top_146 occurrence times 720:	      word
top_147 occurrence times 717:	       nor
top_148 occurrence times 715:	      whom
top_149 occurrence times 713:	      take
top_150 occurrence times 708:	  offering
top_151 occurrence times 696:	Corinthians
top_152 occurrence times 694:	      like
top_153 occurrence times 692:	      Mark
top_154 occurrence times 683:	       way
top_155 occurrence times 675:	      more
top_156 occurrence times 665:	     about
top_157 occurrence times 664:	      sent
top_158 occurrence times 660:	      evil
top_159 occurrence times 656:	     bring
top_160 occurrence times 655:	      what
top_161 occurrence times 638:	       eat
top_162 occurrence times 623:	     Egypt
top_163 occurrence times 622:	     heard
top_164 occurrence times 620:	     spake
top_165 occurrence times 619:	    Judges
top_166 occurrence times 612:	    called
top_167 occurrence times 610:	        So
top_168 occurrence times 603:	      mine
top_169 occurrence times 590:	       own
top_170 occurrence times 590:	      time
top_171 occurrence times 588:	   hundred
top_172 occurrence times 578:	    heaven
top_173 occurrence times 572:	     again
top_174 occurrence times 566:	    Behold
top_175 occurrence times 562:	       saw
top_176 occurrence times 559:	   fathers
top_177 occurrence times 558:	     words
top_178 occurrence times 550:	  brethren
top_179 occurrence times 549:	   through
top_180 occurrence times 549:	      done
top_181 occurrence times 548:	      Thou
top_182 occurrence times 547:	   himself
top_183 occurrence times 543:	      fire
top_184 occurrence times 540:	     years
top_185 occurrence times 540:	       yet
top_186 occurrence times 537:	    priest
top_187 occurrence times 530:	      eyes
top_188 occurrence times 530:	    Christ
top_189 occurrence times 530:	      many
top_190 occurrence times 523:	  thousand
top_191 occurrence times 517:	     voice
top_192 occurrence times 516:	       law
top_193 occurrence times 514:	       off
top_194 occurrence times 514:	       see
top_195 occurrence times 500:	   servant
top_196 occurrence times 485:	      been
top_197 occurrence times 485:	  together
top_198 occurrence times 484:	      gave
top_199 occurrence times 479:	      life
top_200 occurrence times 475:	     three
top_201 occurrence times 474:	     thing
top_202 occurrence times 473:	     given
top_203 occurrence times 470:	      holy
top_204 occurrence times 468:	      than
top_205 occurrence times 468:	      cast
top_206 occurrence times 466:	  servants
top_207 occurrence times 464:	      ever
top_208 occurrence times 463:	  answered
top_209 occurrence times 454:	       art
top_210 occurrence times 452:	      work
top_211 occurrence times 452:	     seven
top_212 occurrence times 452:	      soul
top_213 occurrence times 451:	        If
top_214 occurrence times 451:	   nations
top_215 occurrence times 447:	    cities
top_216 occurrence times 444:	       sin
top_217 occurrence times 444:	     blood
top_218 occurrence times 439:	    Romans
top_219 occurrence times 438:	    Daniel
top_220 occurrence times 435:	     would
top_221 occurrence times 435:	     speak
top_222 occurrence times 430:	   another
top_223 occurrence times 430:	     hands
top_224 occurrence times 428:	     glory
top_225 occurrence times 426:	     sword
top_226 occurrence times 424:	     flesh
top_227 occurrence times 423:	 commanded
top_228 occurrence times 423:	     mouth
top_229 occurrence times 423:	   Solomon
top_230 occurrence times 422:	     might
top_231 occurrence times 421:	      Saul
top_232 occurrence times 421:	     first
top_233 occurrence times 418:	      face
top_234 occurrence times 418:	     found
top_235 occurrence times 418:	      They
top_236 occurrence times 417:	      Thus
top_237 occurrence times 417:	themselves
top_238 occurrence times 416:	     peace
top_239 occurrence times 414:	  Nehemiah
top_240 occurrence times 412:	     midst
top_241 occurrence times 410:	       how
top_242 occurrence times 410:	       Let
top_243 occurrence times 407:	      gold
top_244 occurrence times 405:	      hear
top_245 occurrence times 405:	      wife
top_246 occurrence times 405:	Revelation
top_247 occurrence times 404:	   without
top_248 occurrence times 403:	   priests
top_249 occurrence times 399:	   brother
top_250 occurrence times 394:	      side
top_251 occurrence times 393:	     other
top_252 occurrence times 391:	     water
top_253 occurrence times 390:	     under
top_254 occurrence times 388:	     death
top_255 occurrence times 387:	      head
top_256 occurrence times 379:	       old
top_257 occurrence times 377:	      year
top_258 occurrence times 377:	     altar
top_259 occurrence times 376:	     Jacob
top_260 occurrence times 372:	     right
top_261 occurrence times 365:	     burnt
top_262 occurrence times 365:	       sea
top_263 occurrence times 364:	     those
top_264 occurrence times 364:	     until
top_265 occurrence times 362:	      none
top_266 occurrence times 362:	     drink
top_267 occurrence times 361:	     bread
top_268 occurrence times 355:	    spirit
top_269 occurrence times 354:	      left
top_270 occurrence times 352:	     woman
top_271 occurrence times 352:	     Aaron
top_272 occurrence times 347:	     round
top_273 occurrence times 347:	      high
top_274 occurrence times 344:	     cause
top_275 occurrence times 341:	      five
top_276 occurrence times 339:	   kingdom
top_277 occurrence times 337:	      What
top_278 occurrence times 337:	     dwell
top_279 occurrence times 336:	       end
top_280 occurrence times 334:	       yea
top_281 occurrence times 331:	    toward
top_282 occurrence times 330:	      fear
top_283 occurrence times 330:	      love
top_284 occurrence times 326:	     kings
top_285 occurrence times 326:	      dead
top_286 occurrence times 325:	      four
top_287 occurrence times 324:	  daughter
top_288 occurrence times 324:	   Hebrews
top_289 occurrence times 321:	      keep
top_290 occurrence times 321:	     stood
top_291 occurrence times 321:	     Peter
top_292 occurrence times 320:	    cometh
top_293 occurrence times 320:	concerning
top_294 occurrence times 319:	     hosts
top_295 occurrence times 319:	      This
top_296 occurrence times 319:	        In
top_297 occurrence times 319:	    mother
top_298 occurrence times 318:	     taken
top_299 occurrence times 317:	    silver
top_300 occurrence times 316:	     field
top_301 occurrence times 315:	     sight
top_302 occurrence times 314:	       die
top_303 occurrence times 312:	  covenant
top_304 occurrence times 310:	         A
top_305 occurrence times 308:	     where
top_306 occurrence times 307:	wilderness
top_307 occurrence times 305:	      Ezra
top_308 occurrence times 303:	    wicked
top_309 occurrence times 303:	      pray
top_310 occurrence times 299:	     night
top_311 occurrence times 298:	      both
top_312 occurrence times 298:	       cut
top_313 occurrence times 298:	  judgment
top_314 occurrence times 297:	righteousness
top_315 occurrence times 297:	      thus
top_316 occurrence times 296:	    spoken
top_317 occurrence times 295:	    turned
top_318 occurrence times 293:	   Babylon
top_319 occurrence times 293:	     young
top_320 occurrence times 292:	       GOD
top_321 occurrence times 292:	    twenty
top_322 occurrence times 291:	      laid
top_323 occurrence times 288:	     being
top_324 occurrence times 287:	 Therefore
top_325 occurrence times 286:	    waters
top_326 occurrence times 283:	     whose
top_327 occurrence times 282:	    mighty
top_328 occurrence times 281:	      rest
top_329 occurrence times 279:	 righteous
top_330 occurrence times 279:	   Pharaoh
top_331 occurrence times 278:	      gate
top_332 occurrence times 276:	      seed
top_333 occurrence times 273:	     world
top_334 occurrence times 273:	  iniquity
top_335 occurrence times 272:	      turn
top_336 occurrence times 272:	        Ye
top_337 occurrence times 272:	       Son
top_338 occurrence times 272:	 delivered
top_339 occurrence times 269:	   written
top_340 occurrence times 269:	      same
top_341 occurrence times 268:	     stand
top_342 occurrence times 268:	      told
top_343 occurrence times 268:	    Father
top_344 occurrence times 268:	    strong
top_345 occurrence times 265:	     mercy
top_346 occurrence times 265:	      much
top_347 occurrence times 265:	 offerings
top_348 occurrence times 264:	      When
top_349 occurrence times 264:	     light
top_350 occurrence times 264:	   Levites
top_351 occurrence times 263:	 multitude
top_352 occurrence times 260:	   princes
top_353 occurrence times 260:	      feet
top_354 occurrence times 260:	      wise
top_355 occurrence times 259:	    having
top_356 occurrence times 259:	     whole
top_357 occurrence times 258:	      lord
top_358 occurrence times 258:	      well
top_359 occurrence times 257:	      very
top_360 occurrence times 257:	  gathered
top_361 occurrence times 256:	     month
top_362 occurrence times 255:	Philistines
top_363 occurrence times 255:	     smote
top_364 occurrence times 255:	      seen
top_365 occurrence times 255:	      tent
top_366 occurrence times 255:	   deliver
top_367 occurrence times 254:	 Zechariah
top_368 occurrence times 254:	    return
top_369 occurrence times 252:	 daughters
top_370 occurrence times 251:	      full
top_371 occurrence times 251:	      Jews
top_372 occurrence times 250:	   Abraham
top_373 occurrence times 250:	       ten
top_374 occurrence times 250:	     faith
top_375 occurrence times 248:	    Joseph
top_376 occurrence times 248:	      save
top_377 occurrence times 248:	      only
top_378 occurrence times 246:	     tribe
top_379 occurrence times 245:	     anger
top_380 occurrence times 245:	     power
top_381 occurrence times 245:	      live
top_382 occurrence times 243:	       lay
top_383 occurrence times 242:	        As
top_384 occurrence times 241:	    houses
top_385 occurrence times 240:	 disciples
top_386 occurrence times 240:	    become
top_387 occurrence times 239:	      fell
top_388 occurrence times 239:	    little
top_389 occurrence times 239:	     truth
top_390 occurrence times 239:	   prophet
top_391 occurrence times 238:	      near
top_392 occurrence times 237:	  prophets
top_393 occurrence times 237:	      gods
top_394 occurrence times 236:	        My
top_395 occurrence times 235:	     works
top_396 occurrence times 234:	      seek
top_397 occurrence times 234:	inheritance
top_398 occurrence times 234:	   peoples
top_399 occurrence times 233:	   enemies
top_400 occurrence times 233:	     dwelt
top_401 occurrence times 233:	   therein
top_402 occurrence times 232:	       its
top_403 occurrence times 231:	   morning
top_404 occurrence times 230:	     offer
top_405 occurrence times 229:	      bear
top_406 occurrence times 229:	       ark
top_407 occurrence times 229:	        Go
top_408 occurrence times 228:	      hold
top_409 occurrence times 228:	        It
top_410 occurrence times 228:	       war
top_411 occurrence times 227:	      Beth
top_412 occurrence times 225:	      fall
top_413 occurrence times 225:	     begat
top_414 occurrence times 224:	      send
top_415 occurrence times 223:	      died
top_416 occurrence times 223:	   between
top_417 occurrence times 222:	    Esther
top_418 occurrence times 222:	Ecclesiastes
top_419 occurrence times 222:	      such
top_420 occurrence times 221:	    border
top_421 occurrence times 221:	      wine
top_422 occurrence times 220:	 Wherefore
top_423 occurrence times 220:	   destroy
top_424 occurrence times 220:	   Timothy
top_425 occurrence times 219:	     mount
top_426 occurrence times 219:	     chief
top_427 occurrence times 219:	     These
top_428 occurrence times 218:	   nothing
top_429 occurrence times 217:	      wilt
top_430 occurrence times 217:	    wisdom
top_431 occurrence times 217:	      gone
top_432 occurrence times 216:	     There
top_433 occurrence times 215:	    ground
top_434 occurrence times 214:	   thyself
top_435 occurrence times 214:	      long
top_436 occurrence times 213:	      walk
top_437 occurrence times 213:	    cubits
top_438 occurrence times 211:	    places
top_439 occurrence times 211:	     fruit
top_440 occurrence times 210:	      part
top_441 occurrence times 209:	    surely
top_442 occurrence times 209:	   unclean
top_443 occurrence times 208:	     known
top_444 occurrence times 208:	     child
top_445 occurrence times 208:	       oil
top_446 occurrence times 207:	      bare
top_447 occurrence times 206:	    manner
top_448 occurrence times 206:	     while
top_449 occurrence times 204:	       can
top_450 occurrence times 203:	        We
top_451 occurrence times 202:	     stone
top_452 occurrence times 202:	     serve
top_453 occurrence times 201:	     Hosea
top_454 occurrence times 200:	yourselves
top_455 occurrence times 200:	      tree
top_456 occurrence times 200:	     above
top_457 occurrence times 198:	       Who
top_458 occurrence times 198:	inhabitants
top_459 occurrence times 197:	    Jordan
top_460 occurrence times 196:	  strength
top_461 occurrence times 196:	      ways
top_462 occurrence times 196:	       All
top_463 occurrence times 195:	    temple
top_464 occurrence times 194:	      some
top_465 occurrence times 194:	congregation
top_466 occurrence times 193:	   country
top_467 occurrence times 193:	     angel
top_468 occurrence times 192:	    within
top_469 occurrence times 191:	     sheep
top_470 occurrence times 191:	       six
top_471 occurrence times 190:	      doth
top_472 occurrence times 190:	      back
top_473 occurrence times 189:	  returned
top_474 occurrence times 188:	      door
top_475 occurrence times 188:	     women
top_476 occurrence times 187:	    twelve
top_477 occurrence times 185:	       sat
top_478 occurrence times 184:	    second
top_479 occurrence times 184:	    broken
top_480 occurrence times 184:	      call
top_481 occurrence times 183:	     wrath
top_482 occurrence times 183:	     began
top_483 occurrence times 182:	     third
top_484 occurrence times 182:	      poor
top_485 occurrence times 181:	    throne
top_486 occurrence times 181:	    elders
top_487 occurrence times 180:	      host
top_488 occurrence times 180:	   Ephraim
top_489 occurrence times 180:	 sacrifice
top_490 occurrence times 180:	     judge
top_491 occurrence times 179:	      lest
top_492 occurrence times 179:	       far
top_493 occurrence times 179:	commandment
top_494 occurrence times 179:	   blessed
top_495 occurrence times 178:	    though
top_496 occurrence times 177:	 knowledge
top_497 occurrence times 177:	      book
top_498 occurrence times 176:	 mountains
top_499 occurrence times 176:	     didst
top_500 occurrence times 176:	    cannot
top_501 occurrence times 176:	     cried
top_502 occurrence times 175:	      tell
top_503 occurrence times 175:	    thirty
top_504 occurrence times 174:	      shew
top_505 occurrence times 173:	     built
top_506 occurrence times 173:	      body
top_507 occurrence times 173:	      able
top_508 occurrence times 172:	   certain
top_509 occurrence times 172:	       joy
top_510 occurrence times 172:	  families
top_511 occurrence times 171:	   wherein
top_512 occurrence times 171:	    number
top_513 occurrence times 171:	      Moab
top_514 occurrence times 171:	    living
top_515 occurrence times 170:	   reigned
top_516 occurrence times 170:	    passed
top_517 occurrence times 169:	   witness
top_518 occurrence times 168:	       cry
top_519 occurrence times 168:	  Benjamin
top_520 occurrence times 168:	      wall
top_521 occurrence times 168:	     beast
top_522 occurrence times 167:	    praise
top_523 occurrence times 167:	understanding
top_524 occurrence times 166:	    stones
top_525 occurrence times 166:	    afraid
top_526 occurrence times 166:	  darkness
top_527 occurrence times 165:	        Is
top_528 occurrence times 165:	    battle
top_529 occurrence times 165:	     arose
top_530 occurrence times 165:	       sun
top_531 occurrence times 164:	     slain
top_532 occurrence times 163:	   receive
top_533 occurrence times 162:	      kept
top_534 occurrence times 162:	      sins
top_535 occurrence times 162:	      Zion
top_536 occurrence times 162:	   whether
top_537 occurrence times 161:	     reign
top_538 occurrence times 161:	       How
top_539 occurrence times 161:	      slew
top_540 occurrence times 160:	      find
top_541 occurrence times 159:	    filled
top_542 occurrence times 159:	     enter
top_543 occurrence times 158:	    nation
top_544 occurrence times 158:	   vessels
top_545 occurrence times 158:	 Ephesians
top_546 occurrence times 157:	      Paul
top_547 occurrence times 157:	      camp
top_548 occurrence times 157:	     fifty
top_549 occurrence times 157:	   rejoice
top_550 occurrence times 156:	     could
top_551 occurrence times 156:	     build
top_552 occurrence times 156:	      knew
top_553 occurrence times 155:	      look
top_554 occurrence times 155:	 salvation
top_555 occurrence times 155:	      sake
top_556 occurrence times 155:	  departed
top_557 occurrence times 154:	Lamentations
top_558 occurrence times 154:	  mountain
top_559 occurrence times 154:	      Amos
top_560 occurrence times 154:	    lifted
top_561 occurrence times 153:	    Spirit
top_562 occurrence times 153:	      each
top_563 occurrence times 152:	      meal
top_564 occurrence times 152:	     forty
top_565 occurrence times 151:	   carried
top_566 occurrence times 151:	     asked
top_567 occurrence times 151:	      Holy
top_568 occurrence times 151:	    pieces
top_569 occurrence times 151:	  received
top_570 occurrence times 150:	     James
top_571 occurrence times 150:	 Galatians
top_572 occurrence times 149:	       Thy
top_573 occurrence times 149:	      ears
top_574 occurrence times 149:	 destroyed
top_575 occurrence times 149:	   Because
top_576 occurrence times 148:	      Take
top_577 occurrence times 148:	    beside
top_578 occurrence times 148:	      east
top_579 occurrence times 148:	  Manasseh
top_580 occurrence times 148:	tabernacle
top_581 occurrence times 148:	    answer
top_582 occurrence times 148:	      Song
top_583 occurrence times 147:	     grace
top_584 occurrence times 147:	   meeting
top_585 occurrence times 147:	       lie
top_586 occurrence times 147:	 sanctuary
top_587 occurrence times 147:	 appointed
top_588 occurrence times 146:	   counsel
top_589 occurrence times 146:	     trees
top_590 occurrence times 146:	      fled
top_591 occurrence times 146:	      Joab
top_592 occurrence times 145:	     times
top_593 occurrence times 145:	      till
top_594 occurrence times 144:	     heads
top_595 occurrence times 143:	      here
top_596 occurrence times 141:	     gates
top_597 occurrence times 141:	 neighbour
top_598 occurrence times 141:	    valley
top_599 occurrence times 141:	commandments
top_600 occurrence times 140:	     money
top_601 occurrence times 140:	      half
top_602 occurrence times 140:	    thence
top_603 occurrence times 139:	Thessalonians
top_604 occurrence times 139:	        Of
top_605 occurrence times 139:	       new
top_606 occurrence times 138:	    giveth
top_607 occurrence times 138:	      wind
top_608 occurrence times 138:	      hope
top_609 occurrence times 137:	   sabbath
top_610 occurrence times 137:	    gather
top_611 occurrence times 137:	     Micah
top_612 occurrence times 137:	     break
top_613 occurrence times 137:	   hearken
top_614 occurrence times 137:	      burn
top_615 occurrence times 136:	  statutes
top_616 occurrence times 135:	    cattle
top_617 occurrence times 135:	   heavens
top_618 occurrence times 135:	    beasts
top_619 occurrence times 134:	   service
top_620 occurrence times 134:	whatsoever
top_621 occurrence times 134:	        Be
top_622 occurrence times 134:	     north
top_623 occurrence times 134:	      rose
top_624 occurrence times 134:	    prince
top_625 occurrence times 134:	       why
top_626 occurrence times 134:	    opened
top_627 occurrence times 134:	     brass
top_628 occurrence times 133:	      wood
top_629 occurrence times 133:	       Why
top_630 occurrence times 133:	throughout
top_631 occurrence times 132:	     Isaac
top_632 occurrence times 132:	      born
top_633 occurrence times 131:	      meet
top_634 occurrence times 131:	     feast
top_635 occurrence times 131:	     river
top_636 occurrence times 131:	  Hezekiah
top_637 occurrence times 131:	    maketh
top_638 occurrence times 131:	    sought
top_639 occurrence times 130:	generations
top_640 occurrence times 130:	     court
top_641 occurrence times 129:	 wherewith
top_642 occurrence times 128:	    family
top_643 occurrence times 128:	      fine
top_644 occurrence times 127:	   ashamed
top_645 occurrence times 127:	    became
top_646 occurrence times 127:	       fat
top_647 occurrence times 127:	   husband
top_648 occurrence times 127:	 judgments
top_649 occurrence times 126:	 captivity
top_650 occurrence times 126:	   incense
top_651 occurrence times 126:	     goeth
top_652 occurrence times 126:	     clean
top_653 occurrence times 126:	    sinned
top_654 occurrence times 126:	  presence
top_655 occurrence times 126:	    looked
top_656 occurrence times 125:	   entered
top_657 occurrence times 125:	wickedness
top_658 occurrence times 124:	   wrought
top_659 occurrence times 124:	  numbered
top_660 occurrence times 124:	       Yea
top_661 occurrence times 124:	  garments
top_662 occurrence times 123:	      kill
top_663 occurrence times 123:	      help
top_664 occurrence times 123:	   believe
top_665 occurrence times 123:	   Assyria
top_666 occurrence times 123:	      must
top_667 occurrence times 123:	    spread
top_668 occurrence times 122:	     spoil
top_669 occurrence times 122:	     flock
top_670 occurrence times 122:	   Blessed
top_671 occurrence times 122:	      Come
top_672 occurrence times 122:	   Samaria
top_673 occurrence times 122:	      meat
top_674 occurrence times 122:	  Jonathan
top_675 occurrence times 122:	    master
top_676 occurrence times 121:	    tongue
top_677 occurrence times 121:	       ear
top_678 occurrence times 120:	      hill
top_679 occurrence times 120:	   portion
top_680 occurrence times 120:	 firstborn
top_681 occurrence times 120:	   seventh
top_682 occurrence times 119:	    honour
top_683 occurrence times 119:	   knoweth
top_684 occurrence times 119:	     bless
top_685 occurrence times 119:	     wives
top_686 occurrence times 119:	   captain
top_687 occurrence times 118:	     smite
top_688 occurrence times 118:	 whosoever
top_689 occurrence times 118:	    perish
top_690 occurrence times 118:	      lips
top_691 occurrence times 117:	  followed
top_692 occurrence times 117:	       eye
top_693 occurrence times 117:	    myself
top_694 occurrence times 117:	    seeing
top_695 occurrence times 117:	  Moreover
top_696 occurrence times 116:	      rock
top_697 occurrence times 115:	  chariots
top_698 occurrence times 115:	     leave
top_699 occurrence times 114:	    walked
top_700 occurrence times 114:	    tribes
top_701 occurrence times 114:	    sister
top_702 occurrence times 114:	   suburbs
top_703 occurrence times 113:	   whither
top_704 occurrence times 113:	      open
top_705 occurrence times 113:	     going
top_706 occurrence times 113:	    horses
top_707 occurrence times 112:	   offered
top_708 occurrence times 112:	     shame
top_709 occurrence times 112:	  stranger
top_710 occurrence times 112:	      rise
top_711 occurrence times 112:	    coming
top_712 occurrence times 112:	   present
top_713 occurrence times 112:	     cloud
top_714 occurrence times 111:	      dust
top_715 occurrence times 111:	       hid
top_716 occurrence times 111:	      shut
top_717 occurrence times 110:	    charge
top_718 occurrence times 110:	  desolate
top_719 occurrence times 110:	      nigh
top_720 occurrence times 109:	    beyond
top_721 occurrence times 109:	   Absalom
top_722 occurrence times 109:	     saved
top_723 occurrence times 109:	    chosen
top_724 occurrence times 109:	  oblation
top_725 occurrence times 108:	     ready
top_726 occurrence times 107:	possession
top_727 occurrence times 107:	  captains
top_728 occurrence times 107:	     doeth
top_729 occurrence times 107:	         S
top_730 occurrence times 106:	   beloved
top_731 occurrence times 106:	     sweet
top_732 occurrence times 106:	   possess
top_733 occurrence times 106:	      slay
top_734 occurrence times 106:	    desire
top_735 occurrence times 106:	      ones
top_736 occurrence times 106:	  Gentiles
top_737 occurrence times 106:	        To
top_738 occurrence times 106:	   pillars
top_739 occurrence times 106:	     Ammon
top_740 occurrence times 106:	     alone
top_741 occurrence times 106:	  believed
top_742 occurrence times 105:	     still
top_743 occurrence times 105:	        lo
top_744 occurrence times 105:	Philippians
top_745 occurrence times 105:	   worship
top_746 occurrence times 105:	    buried
top_747 occurrence times 105:	       sit
top_748 occurrence times 105:	     bound
top_749 occurrence times 104:	  Jeroboam
top_750 occurrence times 103:	    shewed
top_751 occurrence times 103:	    famine
top_752 occurrence times 103:	     curse
top_753 occurrence times 103:	      Hear
top_754 occurrence times 102:	    plague
top_755 occurrence times 102:	      corn
top_756 occurrence times 102:	      hour
top_757 occurrence times 101:	    thanks
top_758 occurrence times 101:	     south
top_759 occurrence times 101:	  anointed
top_760 occurrence times 101:	 hearkened
top_761 occurrence times 100:	     linen
top_762 occurrence times 100:	      oxen
top_763 occurrence times 100:	   perfect
top_764 occurrence times 100:	 wherefore
top_765 occurrence times 100:	    Gilead
top_766 occurrence times 100:	    mayest
top_767 occurrence times 100:	 beginning
top_768 occurrence times 100:	      Esau
top_769 occurrence times 100:	    Elijah
top_770 occurrence times 100:	      Baal
top_771 occurrence times 100:	  minister
top_772 occurrence times 99:	generation
top_773 occurrence times 99:	     eaten
top_774 occurrence times 99:	      rain
top_775 occurrence times 99:	   bullock
top_776 occurrence times 99:	       Yet
top_777 occurrence times 98:	      sore
top_778 occurrence times 98:	     idols
top_779 occurrence times 98:	    gospel
top_780 occurrence times 98:	   utterly
top_781 occurrence times 98:	  remember
top_782 occurrence times 98:	      Ruth
top_783 occurrence times 98:	      sing
top_784 occurrence times 98:	      iron
top_785 occurrence times 98:	     enemy
top_786 occurrence times 97:	      vain
top_787 occurrence times 97:	     trust
top_788 occurrence times 97:	   command
top_789 occurrence times 97:	     fight
top_790 occurrence times 97:	      pure
top_791 occurrence times 97:	    raised
top_792 occurrence times 97:	     stead
top_793 occurrence times 96:	      mind
top_794 occurrence times 96:	       bow
top_795 occurrence times 96:	     aside
top_796 occurrence times 96:	      lion
top_797 occurrence times 96:	    prayer
top_798 occurrence times 96:	      flee
top_799 occurrence times 96:	      foot
top_800 occurrence times 95:	     bones
top_801 occurrence times 95:	     image
top_802 occurrence times 95:	      wait
top_803 occurrence times 95:	Colossians
top_804 occurrence times 95:	       ask
top_805 occurrence times 95:	     teach
top_806 occurrence times 94:	    reason
top_807 occurrence times 94:	      Joel
top_808 occurrence times 94:	   covered
top_809 occurrence times 94:	      Ahab
top_810 occurrence times 94:	      Edom
top_811 occurrence times 94:	    depart
